lightcast_id,lightcast_label,lightcast_description,rank,similarity,esco_code,esco_label,esco_group,esco_level,esco_parent_code,esco_is_digital,esco_description,esco_uri
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",1,0.676224,0619.5,image recognition,digital_knowledge,4,0619,1,"A process designed to detect and identify a feature or object in an image or video. This process is used in medical imaging, security surveillance or defect detection, among other fields. Key technique for a wide range of applications such as automated driving, image classification, or visual inspection.",http://data.europa.eu/esco/skill/45f1ae17-c20d-40fc-9307-7d33b6ca9213
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",2,0.83548,S5.6.4.6,apply 3D imaging techniques,s5_skill,4,S5.6.4,1,"Implement a variety of techniques such as digital sculpting, curve modelling and 3D scanning to create, edit, preserve and use 3D images, such as point clouds, 3D vector graphic and 3D surface shapes.",http://data.europa.eu/esco/skill/1859883d-c047-4fe1-8e74-7bb4385d6ad2
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",3,0.808874,0541.2,3D modelling,digital_knowledge,4,0541,1,The process of developing a mathematical representation of any three-dimensional surface of an object via specialised software. The product is called a 3D model. It can be displayed as a two-dimensional image through a process called 3D rendering or used in a computer simulation of physical phenomena. The model can also be physically created using 3D printing devices.,http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",4,0.761534,S5.6.4.6.0,render 3D images,s5_skill,5,S5.6.4.6,1,Use specialised tools to convert 3D wire frame models into 2D images with 3D photorealistic effects or non-photorealistic rendering on a computer.,http://data.europa.eu/esco/skill/e8171178-9a60-40a6-ad3b-510e10cfebad
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",5,0.74063,0914.68,3D body scanning technologies,digital_knowledge,4,0914,1,The principles and usage of technologies for 3D body scanning used to capture the size and shape of the human body.,http://data.europa.eu/esco/skill/9bc3b9ae-50d8-4a32-857e-8cf8d9b4ba8e
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",6,0.723207,0211.59,3D texturing,digital_knowledge,4,0211,1,The process of applying a type of surface to a 3D image.,http://data.europa.eu/esco/skill/3e7516dc-0f7c-4686-8b2f-fade4e5d21be
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",7,0.707203,S5.6.3.17,create 3D characters,s5_skill,4,S5.6.3,1,Develop 3D models by transforming and digitising previously designed characters using specialised 3D tools,http://data.europa.eu/esco/skill/6b21150f-e704-4758-b102-63fd3412543c
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",8,0.704325,0211.9.1,3D printing process,digital_knowledge,5,0211.9,1,The process of reproducing 3D objects by using 3D printing technologies.,http://data.europa.eu/esco/skill/2afb2b59-c9a3-4cf3-b1dd-1a2fad51e583
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",9,0.700936,S5.6.3.14,use polygonal modelling,s5_skill,4,S5.6.3,1,Represent 3D models by using line segments to connect vertices in order to create polygonal mesh on surfaces.,http://data.europa.eu/esco/skill/3325729c-96db-4217-a9ca-4564cc1f909b
KS1201K6P46HG0XKD41J,3D Reconstruction,"3D Reconstruction refers to the process of capturing the shape and appearance of real objects to create a three-dimensional model. This skill involves techniques such as photogrammetry, laser scanning, and computer vision to gather data from various viewpoints. Knowledge of 3D Reconstruction is used in fields such as architecture, gaming, and virtual reality to produce accurate representations of physical environments and objects for analysis, visualization, and simulation purposes.",10,0.694572,0688.1,computer graphics,digital_knowledge,4,0688,1,"The field that merges approaches from computer science and design. It involves the process of creating images, 3D models generation, as well as the rendering, texturing and lighting them. Its applications vary from digital photography, film and video games, and the display of images on electronic devices.",http://data.europa.eu/esco/skill/afda6ca0-7aa8-41ef-ba5e-8dc607839daf
